Plot,CEGL,Alliance,Group,MacroG
085-BULL-0035R,CEGL004996,A0677,G905,M502
085-BULL-0045,CEGL004996,A0677,G905,M502
085-BULL-0053,CEGL004996,A0677,G905,M502
085-BULL-0050R,CEGL004996,A0677,G905,M502
085-BULL-0032P,CEGL004996,A0677,G905,M502
085-BULL-0025P,CEGL004996,A0677,G905,M502
085-BULL-0025R,CEGL004996,A0677,G905,M502
046-01-0664,CEGL007097,A0677,G905,M502
052-07-0800,CEGL007097,A0677,G905,M502
052-07-0801,CEGL007097,A0677,G905,M502
046-01-0661,CEGL007097,A0677,G905,M502
052-03-0805,CEGL007138,A0144,G905,M502
103-COWP-0008,CEGL006327,A3227,G030,M013
118-42-0043,CEGL006327,A3227,G030,M013
118-42-0049,CEGL006327,A3227,G030,M013
141-01-0052,CEGL002591,A3227,G030,M013
104-GUCO-0016,CEGL002591,A3227,G030,M013
141-01-0023,CEGL002591,A3227,G030,M013
129-08-1501,CEGL007879,A3228,G030,M013
136-01-0005,CEGL007879,A3228,G030,M013
141-01-0034,CEGL007221,A3228,G030,M013
141-01-0018,CEGL007221,A3228,G030,M013
085-PWFP-0004P,CEGL007221,A3228,G030,M013
085-PWFP-0007P,CEGL007221,A3228,G030,M013
103-COWP-0014,CEGL007221,A3228,G030,M013
141-01-0037,CEGL007221,A3228,G030,M013
085-SCRU-0008,CEGL006075,A2054,G894,M525
085-FBMR-0041,CEGL006075,A2054,G894,M525
085-POSP-0002,CEGL006075,A2054,G894,M525
085-SCRU-0021,CEGL006075,A2054,G894,M525
085-AMHE-0002,CEGL006075,A2054,G894,M525
085-SCRU-0024,CEGL006075,A2054,G894,M525
085-FBMR-0050,CEGL006075,A2054,G894,M525
085-BULL-0003,CEGL006075,A2054,G894,M525
085-GWMP-0034,CEGL006075,A2054,G894,M525
085-TURK-0020,CEGL006075,A2054,G894,M525
085-FBMR-0015,CEGL006075,A2054,G894,M525
085-SCRU-0014,CEGL006075,A2054,G894,M525
085-FAIR-0037,CEGL006075,A2054,G894,M525
085-GWMP-0006,CEGL006075,A2054,G894,M525
085-FBMR-0045,CEGL006075,A2054,G894,M525
085-LASP-0002,CEGL006075,A2054,G894,M525
085-FBMR-0048,CEGL006075,A2054,G894,M525
085-PWFP-0014P,CEGL006075,A2054,G894,M525
085-FBMR-0031,CEGL006075,A2054,G894,M525
085-PWFP-0013P,CEGL006075,A2054,G894,M525
085-FBMR-0030,CEGL006075,A2054,G894,M525
085-HENY-0006,CEGL006075,A2054,G894,M525
085-MADS-0016,CEGL006075,A2054,G894,M525
085-HENY-0008,CEGL006075,A2054,G894,M525
085-PWFP-0012P,CEGL006075,A2054,G894,M525
085-ALBE-0002,CEGL006075,A2054,G894,M525
085-SCRU-0013,CEGL006075,A2054,G894,M525
085-RIVB-0012,CEGL006075,A2054,G894,M525
085-RIVB-0010,CEGL006075,A2054,G894,M525
085-RIVB-0009,CEGL006075,A2054,G894,M525
085-RIVB-0008,CEGL006075,A2054,G894,M525
085-RIVB-0007,CEGL006075,A2054,G894,M525
085-RNBP-0010,CEGL006075,A2054,G894,M525
085-MADS-0017,CEGL006075,A2054,G894,M525
085-MADS-0023,CEGL006075,A2054,G894,M525
085-AMHE-0001,CEGL006075,A2054,G894,M525
085-PWFP-0039,CEGL006075,A2054,G894,M525
085-APCO-0007,CEGL006075,A2054,G894,M525
085-CUSF-0007,CEGL006075,A2054,G894,M525
085-CUSF-0017,CEGL006075,A2054,G894,M525
085-RIVB-0006,CEGL006075,A2054,G894,M525
085-GWMP-0035,CEGL006075,A2054,G894,M525
085-HANO-0004,CEGL006075,A2054,G894,M525
085-SCRU-0006,CEGL006075,A2054,G894,M525
085-PWFP-0033,CEGL006075,A2054,G894,M525
085-PHWM-0004,CEGL006075,A2054,G894,M525
085-PWFP-0032,CEGL006075,A2054,G894,M525
085-SCRU-0011,CEGL006075,A2054,G894,M525
085-PGSF-0005,CEGL006075,A2054,G894,M525
085-FLUV-0012,CEGL006075,A2054,G894,M525
085-FBMR-0056,CEGL006075,A2054,G894,M525
085-BULL-0056,CEGL006075,A2054,G894,M525
085-CHES-0001,CEGL006075,A2054,G894,M525
085-CAMP-0002,CEGL006075,A2054,G894,M525
085-FHRP-0001,CEGL006075,A2054,G894,M525
085-KERR-0038,CEGL006075,A2054,G894,M525
085-KERR-0002,CEGL006075,A2054,G894,M525
085-KERR-0036,CEGL006075,A2054,G894,M525
085-FSMP-0010,CEGL006075,A2054,G894,M525
085-PWFP-0002P,CEGL006075,A2054,G894,M525
085-GFNP-0040,CEGL006075,A2054,G894,M525
085-GFNP-0008,CEGL006075,A2054,G894,M525
085-LEMP-0003,CEGL006075,A2054,G894,M525
085-PWFP-0010P,CEGL006075,A2054,G894,M525
085-TURK-0028,CEGL006075,A2054,G894,M525
085-PWFP-0015P,CEGL006075,A2054,G894,M525
085-GWMP-0002,CEGL006075,A2054,G894,M525
085-PHWM-0006,CEGL006075,A2054,G894,M525
085-POSP-0003,CEGL006075,A2054,G894,M525
085-TURK-0023,CEGL006075,A2054,G894,M525
085-TURK-0022,CEGL006075,A2054,G894,M525
085-TURK-0021,CEGL006075,A2054,G894,M525
085-APCO-0012,CEGL006075,A2054,G894,M525
085-PHWM-0002,CEGL006075,A2054,G894,M525
085-TURK-0029,CEGL006075,A2054,G894,M525
085-BULL-0036R,CEGL006075,A2054,G894,M525
085-TURK-0030,CEGL006075,A2054,G894,M525
085-BULL-0005,CEGL006075,A2054,G894,M525
085-BULL-0006,CEGL006075,A2054,G894,M525
085-BULL-0036P,CEGL006075,A2054,G894,M525
085-GFNP-0017,CEGL006075,A2054,G894,M525
085-KERR-0024,CEGL006075,A2054,G894,M525
085-TURK-0024,CEGL006075,A2054,G894,M525
085-FBMR-0009,CEGL006075,A2054,G894,M525
085-TURK-0025,CEGL006075,A2054,G894,M525
085-POSP-0008,CEGL006075,A2054,G894,M525
085-GFNP-0013,CEGL006075,A2054,G894,M525
085-FSMP-0024,CEGL006075,A2054,G894,M525
085-FSMP-0025,CEGL006075,A2054,G894,M525
085-BULL-0017R,CEGL006075,A2054,G894,M525
085-GFNP-0001,CEGL006075,A2054,G894,M525
085-BULL-0017P,CEGL006075,A2054,G894,M525
085-FBMR-0035,CEGL006075,A2054,G894,M525
085-FBMR-0016,CEGL006075,A2054,G894,M525
085-GFNP-0007,CEGL006075,A2054,G894,M525
085-PNBP-0007,CEGL006075,A2054,G894,M525
085-FBMR-0034,CEGL006919,A2054,G894,M525
085-FHRP-0002,CEGL006919,A2054,G894,M525
085-PWFP-0045,CEGL006919,A2054,G894,M525
085-HANO-0003,CEGL006919,A2054,G894,M525
085-FHRP-0004,CEGL006919,A2054,G894,M525
085-FAIR-0038,CEGL006919,A2054,G894,M525
085-FLUV-0007,CEGL006919,A2054,G894,M525
085-PHWM-0005,CEGL006919,A2054,G894,M525
085-HRWM-0004,CEGL006919,A2054,G894,M525
085-CUSF-0010,CEGL006919,A2054,G894,M525
085-HRWM-0006,CEGL006919,A2054,G894,M525
085-KERR-0033,CEGL006919,A2054,G894,M525
085-ABSF-0019,CEGL006919,A2054,G894,M525
085-MOTT-0002,CEGL006919,A2054,G894,M525
085-KERR-0007,CEGL006919,A2054,G894,M525
085-HENY-0002,CEGL006919,A2054,G894,M525
085-TURK-0027,CEGL006055,A4394,G894,M525
085-CUSF-0006,CEGL006055,A4394,G894,M525
085-FAIR-0034,CEGL006055,A4394,G894,M525
085-GFNP-0027,CEGL006055,A4394,G894,M525
085-GFNP-0034,CEGL006055,A4394,G894,M525
085-GFNP-0035,CEGL006055,A4394,G894,M525
085-GFNP-0036,CEGL006055,A4394,G894,M525
085-GWMP-0001,CEGL006055,A4394,G894,M525
085-GWMP-0005,CEGL006055,A4394,G894,M525
085-HRWM-0002,CEGL006055,A4394,G894,M525
085-TURK-0016,CEGL006055,A4394,G894,M525
085-RIVB-0005,CEGL006055,A4394,G894,M525
085-RIVB-0011,CEGL006055,A4394,G894,M525
085-TURK-0043,CEGL006055,A4394,G894,M525
085-HANO-0002,CEGL006055,A4394,G894,M525
085-TURK-0039,CEGL006055,A4394,G894,M525
085-TURK-0040,CEGL006055,A4394,G894,M525
085-TURK-0015,CEGL006055,A4394,G894,M525
085-TURK-0041,CEGL006055,A4394,G894,M525
085-PWFP-0006P,CEGL006055,A4394,G894,M525
085-SCRU-0027,CEGL006055,A4394,G894,M525
085-SCRU-0026,CEGL006055,A4394,G894,M525
085-TURK-0044,CEGL006055,A4394,G894,M525
085-SCRU-0007,CEGL006055,A4394,G894,M525
085-TURK-0047,CEGL006055,A4394,G894,M525
085-SCRU-0028,CEGL006055,A4394,G894,M525
085-BESP-0004,CEGL006055,A4394,G894,M525
085-PRIE-0003,CEGL006055,A4394,G894,M525
085-HANO-0011,CEGL006269,A4209,G894,M525
085-LEMP-0004,CEGL006269,A4209,G894,M525
085-POSP-0006,CEGL006269,A4209,G894,M525
085-PNBP-0005,CEGL006269,A4209,G894,M525
085-POSP-0009,CEGL006269,A4209,G894,M525
085-LEMP-0002,CEGL006269,A4209,G894,M525
085-LEMP-0001,CEGL006269,A4209,G894,M525
085-FSMP-0019,CEGL006269,A4209,G894,M525
085-LESP-0001,CEGL006490,A4209,G894,M525
128-10-1470,CEGL008489,A3274,G165,M016
134-04-1544,CEGL008489,A3274,G165,M016
142-09-1644,CEGL003684,A3274,G165,M016
142-09-1641,CEGL003684,A3274,G165,M016
052-04-0811,CEGL003684,A3274,G165,M016
118-42-0524,CEGL004443,A3274,G165,M016
085-PITT-0010,CEGL004443,A3274,G165,M016
019-01-0019,CEGL004443,A3274,G165,M016
085-PITT-0001,CEGL004443,A3274,G165,M016
004-04-0155,CEGL004443,A3274,G165,M016
120-06-1433,CEGL004443,A3274,G165,M016
004-04-0146,CEGL004443,A3274,G165,M016
085-PATR-0009,CEGL004443,A3274,G165,M016
120-08-1430,CEGL004443,A3274,G165,M016
085-FRAN-0005,CEGL004443,A3274,G165,M016
019-01-0009,CEGL004443,A3274,G165,M016
085-FRAN-0007,CEGL004443,A3274,G165,M016
004-05-0159,CEGL004443,A3274,G165,M016
004-05-0160,CEGL004447,A3274,G165,M016
004-02-0162,CEGL004541,A3274,G165,M016
004-01-0159,CEGL004541,A3274,G165,M016
004-05-0175,CEGL004541,A3274,G165,M016
135-04-1600,CEGL004541,A3274,G165,M016
004-02-0160,CEGL004541,A3274,G165,M016
135-11-1600,CEGL004541,A3274,G165,M016
004-03-0154,CEGL004541,A3274,G165,M016
004-03-0165,CEGL004541,A3274,G165,M016
129-06-1501,CEGL004148,A4438,G165,M016
135-06-1602,CEGL004148,A4438,G165,M016
142-06-1655,CEGL004148,A4438,G165,M016
046-05-0667,CEGL004148,A4438,G165,M016
138-01-1624,CEGL004148,A4438,G165,M016
138-01-1623,CEGL004148,A4438,G165,M016
059-03-0851,CEGL004148,A4438,G165,M016
004-02-0166,CEGL004415,A4438,G165,M016
004-01-0157,CEGL004415,A4438,G165,M016
138-11-1620,CEGL004415,A4438,G165,M016
059-05-0850,CEGL004415,A4438,G165,M016
120-10-1432,CEGL004415,A4438,G165,M016
089-07-1225,CEGL004415,A4438,G165,M016
129-06-1507,CEGL004415,A4438,G165,M016
135-01-1601,CEGL004415,A4438,G165,M016
129-06-1506,CEGL004415,A4438,G165,M016
120-04-1433,CEGL004415,A4438,G165,M016
108-KIMO-0021,CEGL004415,A4438,G165,M016
004-06-0166,CEGL004415,A4438,G165,M016
138-04-1626,CEGL004415,A4438,G165,M016
059-05-0851,CEGL004415,A4438,G165,M016
099-04-0001,CEGL004415,A4438,G165,M016
129-01-1508,CEGL006281,A4438,G165,M016
129-04-1501,CEGL006281,A4438,G165,M016
004-02-0156,CEGL006281,A4438,G165,M016
099-01-0063,CEGL006281,A4438,G165,M016
004-03-0149,CEGL006281,A4438,G165,M016
099-04-0002,CEGL006281,A4438,G165,M016
120-06-1439,CEGL006281,A4438,G165,M016
042-04-0635,CEGL006281,A4438,G165,M016
129-06-1511,CEGL006281,A4438,G165,M016
138-04-1622,CEGL006281,A4438,G165,M016
129-01-1504,CEGL006281,A4438,G165,M016
120-10-1431,CEGL006281,A4438,G165,M016
059-08-0856,CEGL006281,A4438,G165,M016
134-09-1543,CEGL006281,A4438,G165,M016
004-02-0155,CEGL006281,A4438,G165,M016
004-01-0158,CEGL006281,A4438,G165,M016
004-01-0153,CEGL006281,A4438,G165,M016
004-03-0152,CEGL006281,A4438,G165,M016
135-04-1603,CEGL006281,A4438,G165,M016
129-07-1501,CEGL006281,A4438,G165,M016
138-01-1622,CEGL006281,A4438,G165,M016
004-01-0152,CEGL006281,A4438,G165,M016
004-03-0151,CEGL006281,A4438,G165,M016
138-04-1629,CEGL006281,A4438,G165,M016
138-11-1622,CEGL006281,A4438,G165,M016
138-06-1620,CEGL006281,A4438,G165,M016
138-06-1624,CEGL006281,A4438,G165,M016
138-01-1620,CEGL006281,A4438,G165,M016
120-06-1432,CEGL006281,A4438,G165,M016
135-01-1600,CEGL006281,A4438,G165,M016
004-03-0155,CEGL004232,A3293,G165,M016
085-CUSF-0001,CEGL007232,A3293,G165,M016
059-04-0854,CEGL007232,A3293,G165,M016
019-01-0022,CEGL007232,A3293,G165,M016
058-01-0034,CEGL007232,A3293,G165,M016
058-02-0060,CEGL007232,A3293,G165,M016
118-42-PSP86,CEGL007232,A3293,G165,M016
120-01-1437,CEGL007232,A3293,G165,M016
019-01-0001,CEGL007232,A3293,G165,M016
111-02-1352,CEGL007232,A3293,G165,M016
019-01-0023,CEGL007232,A3293,G165,M016
118-42-0574,CEGL007232,A3293,G165,M016
058-08-0030,CEGL007232,A3293,G165,M016
118-42-0508,CEGL007232,A3293,G165,M016
120-04-1430,CEGL007232,A3293,G165,M016
058-08-0006,CEGL007232,A3293,G165,M016
058-03-0054,CEGL007232,A3293,G165,M016
085-APCO-0009,CEGL007232,A3293,G165,M016
141-01-0031,CEGL007232,A3293,G165,M016
135-03-1600,CEGL007232,A3293,G165,M016
118-42-0507,CEGL007232,A3293,G165,M016
111-04-1357,CEGL007232,A3293,G165,M016
058-08-0051,CEGL007232,A3293,G165,M016
085-SPOT-0001,CEGL007232,A3293,G165,M016
129-06-1504,CEGL007232,A3293,G165,M016
085-SPOT-0002,CEGL007232,A3293,G165,M016
085-SRSP-0003,CEGL007232,A3293,G165,M016
128-05-1470,CEGL007232,A3293,G165,M016
085-SRSP-0001,CEGL007232,A3293,G165,M016
085-APCO-0002,CEGL007232,A3293,G165,M016
085-APCO-0001,CEGL007232,A3293,G165,M016
085-AMWM-0004,CEGL007232,A3293,G165,M016
058-03-0050,CEGL007232,A3293,G165,M016
058-08-0053,CEGL007232,A3293,G165,M016
052-01-0810,CEGL007232,A3293,G165,M016
118-42-0503,CEGL007232,A3293,G165,M016
141-01-0008,CEGL007232,A3293,G165,M016
141-01-0007,CEGL007232,A3293,G165,M016
138-10-1621,CEGL007232,A3293,G165,M016
082-04-1100,CEGL007232,A3293,G165,M016
085-KERR-0027,CEGL007232,A3293,G165,M016
004-05-0158,CEGL007232,A3293,G165,M016
004-02-0159,CEGL007232,A3293,G165,M016
138-03-1620,CEGL007232,A3293,G165,M016
052-01-0806,CEGL007232,A3293,G165,M016
134-04-1541,CEGL007232,A3293,G165,M016
089-04-1231,CEGL007232,A3293,G165,M016
058-03-0045,CEGL007232,A3293,G165,M016
129-03-1502,CEGL007232,A3293,G165,M016
085-KERR-0013,CEGL007232,A3293,G165,M016
085-CUSF-0008,CEGL007232,A3293,G165,M016
141-01-0033,CEGL007232,A3293,G165,M016
085-HRWM-0003,CEGL007232,A3293,G165,M016
085-AMWM-0002,CEGL007232,A3293,G165,M016
135-06-1600,CEGL007232,A3293,G165,M016
085-HENY-0003,CEGL007232,A3293,G165,M016
085-CUSF-0004,CEGL007232,A3293,G165,M016
085-PNWM-0005,CEGL007232,A3293,G165,M016
082-03-1103,CEGL007232,A3293,G165,M016
058-08-0033,CEGL007232,A3293,G165,M016
085-ABSF-0021,CEGL008475,A3293,G165,M016
085-HENY-0005,CEGL008475,A3293,G165,M016
085-ALBE-0003,CEGL008475,A3293,G165,M016
085-ALBE-0001,CEGL008475,A3293,G165,M016
134-10-1542,CEGL008475,A3293,G165,M016
085-HANO-0006,CEGL008475,A3293,G165,M016
085-HENY-0007,CEGL008475,A3293,G165,M016
085-ALBE-0016,CEGL008475,A3293,G165,M016
085-AMHE-0003,CEGL008475,A3293,G165,M016
085-AMWM-0003,CEGL008475,A3293,G165,M016
085-AMWM-0005,CEGL008475,A3293,G165,M016
004-04-0159,CEGL008475,A3293,G165,M016
118-42-0542,CEGL008475,A3293,G165,M016
085-BBRP-0004,CEGL008475,A3293,G165,M016
085-HANO-0005,CEGL008475,A3293,G165,M016
111-02-1353,CEGL008475,A3293,G165,M016
085-GFNP-0043,CEGL008475,A3293,G165,M016
085-GFNP-0044,CEGL008475,A3293,G165,M016
138-06-1621,CEGL008475,A3293,G165,M016
128-08-1473,CEGL008475,A3293,G165,M016
138-06-1623,CEGL008475,A3293,G165,M016
085-GFNP-0037,CEGL008475,A3293,G165,M016
085-GFNP-0042,CEGL008475,A3293,G165,M016
085-ABSF-0007,CEGL008475,A3293,G165,M016
085-AMWM-0006,CEGL008475,A3293,G165,M016
085-PNWM-0003,CEGL008475,A3293,G165,M016
085-BULL-0069R,CEGL008475,A3293,G165,M016
019-01-0005,CEGL008475,A3293,G165,M016
085-ABSF-0004,CEGL008475,A3293,G165,M016
085-ABSF-0003,CEGL008475,A3293,G165,M016
129-03-1501,CEGL008475,A3293,G165,M016
085-BULL-0052P,CEGL008475,A3293,G165,M016
118-42-0012,CEGL008475,A3293,G165,M016
118-42-0017,CEGL008475,A3293,G165,M016
134-10-1543,CEGL008475,A3293,G165,M016
085-POSP-0007,CEGL008475,A3293,G165,M016
085-PNBP-0003,CEGL008475,A3293,G165,M016
085-KERR-0040,CEGL008475,A3293,G165,M016
128-04-1471,CEGL008475,A3293,G165,M016
085-WATM-0044,CEGL008475,A3293,G165,M016
085-PNWM-0002,CEGL008475,A3293,G165,M016
118-42-0579,CEGL008475,A3293,G165,M016
128-06-1471,CEGL008475,A3293,G165,M016
134-12-1540,CEGL008475,A3293,G165,M016
085-KERR-0031,CEGL008475,A3293,G165,M016
138-02-1625,CEGL008475,A3293,G165,M016
085-PHWM-0008,CEGL008475,A3293,G165,M016
085-ABSF-0011,CEGL008475,A3293,G165,M016
085-KERR-0039,CEGL008475,A3293,G165,M016
085-KERR-0028,CEGL008475,A3293,G165,M016
085-PITT-0006,CEGL008475,A3293,G165,M016
134-10-1544,CEGL008475,A3293,G165,M016
138-02-1624,CEGL008475,A3293,G165,M016
118-42-0011,CEGL008475,A3293,G165,M016
085-BULL-0057,CEGL008475,A3293,G165,M016
085-BULL-0016R,CEGL008475,A3293,G165,M016
134-06-1541,CEGL008475,A3293,G165,M016
085-APCO-0010,CEGL008475,A3293,G165,M016
138-02-1623,CEGL008475,A3293,G165,M016
085-PGSF-0010,CEGL008475,A3293,G165,M016
085-PGSF-0009,CEGL008475,A3293,G165,M016
085-PGSF-0006,CEGL008475,A3293,G165,M016
118-42-0585,CEGL008475,A3293,G165,M016
128-04-1470,CEGL008475,A3293,G165,M016
085-POSP-0005,CEGL008475,A3293,G165,M016
085-ABSF-0016,CEGL008475,A3293,G165,M016
085-BULL-0016P,CEGL008475,A3293,G165,M016
085-KERR-0030,CEGL008475,A3293,G165,M016
085-GFNP-0046,CEGL008475,A3293,G165,M016
085-FLUV-0011,CEGL008475,A3293,G165,M016
085-BULL-0021P,CEGL008475,A3293,G165,M016
129-05-1502,CEGL008475,A3293,G165,M016
085-BWNM-0006,CEGL008475,A3293,G165,M016
085-FLUV-0003,CEGL008475,A3293,G165,M016
082-09-1102,CEGL008475,A3293,G165,M016
085-ABSF-0017,CEGL008475,A3293,G165,M016
085-BWNM-0001,CEGL008475,A3293,G165,M016
118-42-0025,CEGL008475,A3293,G165,M016
085-FAIR-0045,CEGL008475,A3293,G165,M016
085-FAIR-0025,CEGL008475,A3293,G165,M016
085-FLUV-0014,CEGL008475,A3293,G165,M016
118-42-0026,CEGL008475,A3293,G165,M016
004-02-0150,CEGL008475,A3293,G165,M016
085-CHAR-0002,CEGL008475,A3293,G165,M016
085-BULL-0069P,CEGL008475,A3293,G165,M016
004-01-0155,CEGL008475,A3293,G165,M016
085-FLUV-0006,CEGL008475,A3293,G165,M016
085-RNBP-0001,CEGL008475,A3293,G165,M016
089-07-1226,CEGL008475,A3293,G165,M016
085-SCRU-0023,CEGL008475,A3293,G165,M016
085-WATM-0017,CEGL008475,A3293,G165,M016
085-WATM-0030,CEGL008475,A3293,G165,M016
085-PGSF-0001,CEGL008475,A3293,G165,M016
085-WATM-0058,CEGL008475,A3293,G165,M016
070-09-0101,CEGL008475,A3293,G165,M016
070-09-0120,CEGL008475,A3293,G165,M016
120-06-1436,CEGL008475,A3293,G165,M016
070-09-0162,CEGL008475,A3293,G165,M016
085-WATM-0031,CEGL008475,A3293,G165,M016
120-01-1440,CEGL008475,A3293,G165,M016
059-03-0852,CEGL008475,A3293,G165,M016
085-WATM-0056,CEGL008475,A3293,G165,M016
085-WATM-0042,CEGL008475,A3293,G165,M016
128-02-1470,CEGL008475,A3293,G165,M016
053-01-0107,CEGL008475,A3293,G165,M016
085-WATM-0025,CEGL008475,A3293,G165,M016
085-PWFP-0038,CEGL008475,A3293,G165,M016
085-WATM-0033,CEGL008475,A3293,G165,M016
085-LUNE-0002,CEGL008475,A3293,G165,M016
085-MNBP-0023,CEGL008475,A3293,G165,M016
085-LUNE-0005,CEGL008475,A3293,G165,M016
085-MNBP-0021,CEGL008475,A3293,G165,M016
085-MNBP-0020,CEGL008475,A3293,G165,M016
053-01-0100,CEGL008475,A3293,G165,M016
085-RIVB-0014,CEGL008475,A3293,G165,M016
085-FAIR-0031,CEGL008475,A3293,G165,M016
085-PWFP-0044,CEGL008475,A3293,G165,M016
053-01-0114,CEGL008475,A3293,G165,M016
089-04-1228,CEGL008475,A3293,G165,M016
058-03-0036,CEGL008475,A3293,G165,M016
085-MNBP-0033,CEGL008475,A3293,G165,M016
085-LOUD-0012,CEGL008475,A3293,G165,M016
058-02-0044,CEGL008475,A3293,G165,M016
053-01-0103,CEGL008475,A3293,G165,M016
099-06-0002,CEGL008475,A3293,G165,M016
085-MNBP-0030,CEGL008475,A3293,G165,M016
053-01-0108,CEGL008475,A3293,G165,M016
058-03-0039,CEGL008475,A3293,G165,M016
085-MNBP-0026,CEGL008475,A3293,G165,M016
053-01-0109,CEGL008475,A3293,G165,M016
085-WATM-0038,CEGL008475,A3293,G165,M016
053-01-0113,CEGL008475,A3293,G165,M016
019-01-0024,CEGL008475,A3293,G165,M016
085-PWFP-0027,CEGL008475,A3293,G165,M016
053-01-0123,CEGL008475,A3293,G165,M016
085-WATM-0035,CEGL008475,A3293,G165,M016
052-02-0803,CEGL008475,A3293,G165,M016
053-01-0111,CEGL008475,A3293,G165,M016
085-LASP-0001,CEGL008475,A3293,G165,M016
085-LOUD-0007,CEGL008475,A3293,G165,M016
053-01-0118,CEGL008475,A3293,G165,M016
085-MOTT-0001,CEGL008475,A3293,G165,M016
053-01-0106,CEGL008475,A3293,G165,M016
085-NOTT-0001,CEGL008475,A3293,G165,M016
059-02-0851,CEGL008475,A3293,G165,M016
019-01-0029,CEGL008475,A3293,G165,M016
058-01-0005,CEGL008475,A3293,G165,M016
053-01-0112,CEGL008475,A3293,G165,M016
085-ABSF-0010,CEGL008475,A3293,G165,M016
085-PGSF-0002,CEGL008475,A3293,G165,M016
085-BULL-0021R,CEGL008475,A3293,G165,M016
085-FSMP-0002,CEGL008475,A3293,G165,M016
085-FSMP-0008,CEGL008475,A3293,G165,M016
004-03-0166,CEGL008475,A3293,G165,M016
085-BULL-0028,CEGL008475,A3293,G165,M016
085-FSMP-0004,CEGL008475,A3293,G165,M016
085-BULL-0030P,CEGL008475,A3293,G165,M016
085-BULL-0030R,CEGL008475,A3293,G165,M016
085-ARLI-0001,CEGL008475,A3293,G165,M016
085-APCO-0013,CEGL008475,A3293,G165,M016
085-BULL-0031P,CEGL008475,A3293,G165,M016
085-PWFP-0034,CEGL008475,A3293,G165,M016
085-BULL-0054,CEGL008475,A3293,G165,M016
085-ARLI-0002,CEGL008475,A3293,G165,M016
085-CUSF-0038,CEGL008475,A3293,G165,M016
085-CRSF-0001,CEGL008475,A3293,G165,M016
129-06-1503,CEGL008475,A3293,G165,M016
118-42-0042,CEGL008475,A3293,G165,M016
085-FAIR-0043,CEGL008475,A3293,G165,M016
085-BULL-0052R,CEGL008475,A3293,G165,M016
129-07-1504,CEGL008475,A3293,G165,M016
085-CAMP-0003,CEGL008475,A3293,G165,M016
085-CUSF-0009,CEGL008475,A3293,G165,M016
085-CUSF-0037,CEGL008475,A3293,G165,M016
085-CUSF-0013,CEGL008475,A3293,G165,M016
085-CUSF-0014,CEGL008475,A3293,G165,M016
085-CUSF-0016,CEGL008475,A3293,G165,M016
085-BULL-0031R,CEGL008475,A3293,G165,M016
118-42-0001,CEGL008475,A3293,G165,M016
085-MNBP-0013,CEGL008475,A3293,G165,M016
052-03-0806,CEGL008475,A3293,G165,M016
085-PRIE-0001,CEGL008475,A3293,G165,M016
085-PRIE-0002,CEGL008475,A3293,G165,M016
085-MNBP-0009,CEGL008475,A3293,G165,M016
059-04-0857,CEGL008475,A3293,G165,M016
085-PWFP-0025,CEGL008475,A3293,G165,M016
085-WATM-0005,CEGL008475,A3293,G165,M016
085-WATM-0016,CEGL008475,A3293,G165,M016
134-03-1540,CEGL008475,A3293,G165,M016
085-FSMP-0001,CEGL008475,A3293,G165,M016
085-FSMP-0021,CEGL008475,A3293,G165,M016
004-03-0156,CEGL008475,A3293,G165,M016
134-02-1543,CEGL008475,A3293,G165,M016
085-CUSF-0021,CEGL008475,A3293,G165,M016
111-04-1356,CEGL008475,A3293,G165,M016
085-ABSF-0018P,CEGL008475,A3293,G165,M016
085-GFNP-0011,CEGL008475,A3293,G165,M016
134-04-1546,CEGL008475,A3293,G165,M016
129-01-1502,CEGL008475,A3293,G165,M016
085-FPMR-0021,CEGL008475,A3293,G165,M016
085-FSMP-0023,CEGL008475,A3293,G165,M016
134-04-1542,CEGL008475,A3293,G165,M016
118-42-0009,CEGL008475,A3293,G165,M016
129-13-1501,CEGL008475,A3293,G165,M016
085-BULL-0038R,CEGL008475,A3293,G165,M016
085-BULL-0038P,CEGL008475,A3293,G165,M016
085-BULL-0039,CEGL008475,A3293,G165,M016
134-07-1541,CEGL004542,A3293,G165,M016
111-03-1353,CEGL004542,A3293,G165,M016
004-02-0165,CEGL004542,A3293,G165,M016
134-10-1541,CEGL004542,A3293,G165,M016
120-06-1431,CEGL004542,A3293,G165,M016
004-03-0168,CEGL004542,A3293,G165,M016
120-06-1437,CEGL004542,A3293,G165,M016
128-04-1475,CEGL004542,A3293,G165,M016
004-03-0167,CEGL004542,A3293,G165,M016
004-06-0151,CEGL004542,A3293,G165,M016
128-04-1479,CEGL004542,A3293,G165,M016
004-04-0153,CEGL004446,A3294,G165,M016
085-FPMR-0009,CEGL003721,A3294,G165,M016
085-FPMR-0008,CEGL003721,A3294,G165,M016
085-FPMR-0007,CEGL003721,A3294,G165,M016
085-FPMR-0005,CEGL003721,A3294,G165,M016
019-01-0012,CEGL007773,A3294,G165,M016
019-01-0013,CEGL007773,A3294,G165,M016
120-01-1436,CEGL007773,A3294,G165,M016
120-06-1435,CEGL007773,A3294,G165,M016
111-02-1354,CEGL007773,A3294,G165,M016
138-09-1621,CEGL007773,A3294,G165,M016
138-02-1621,CEGL007773,A3294,G165,M016
019-01-0002,CEGL007773,A3294,G165,M016
